epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,381.979,1.04401,0.83881,0.96928,0.64961,0.74085,0.71302,0.58103,1.19589,1.08942,1.10775,0.0005941,0.0005941,0.0005941
43,390.504,1.04706,0.89293,0.98162,0.67281,0.71485,0.70742,0.5524,1.18509,1.07868,1.08205,0.0005842,0.0005842,0.0005842
44,398.949,1.0323,0.84892,0.9695,0.65889,0.71703,0.68634,0.56011,1.12817,1.05956,1.06643,0.0005743,0.0005743,0.0005743
45,407.698,1.03288,0.84448,0.97712,0.57101,0.73778,0.69266,0.53384,1.12106,1.07845,1.05571,0.0005644,0.0005644,0.0005644
46,416.131,1.04578,0.84806,0.98369,0.5967,0.76198,0.67722,0.54289,1.10311,1.02955,1.04578,0.0005545,0.0005545,0.0005545
47,424.528,1.05886,0.8966,0.98811,0.6463,0.74412,0.68662,0.5553,1.16309,1.09887,1.08677,0.0005446,0.0005446,0.0005446
48,433.069,1.04246,0.84492,0.97286,0.66682,0.75792,0.70409,0.55547,1.18626,1.08066,1.10899,0.0005347,0.0005347,0.0005347
49,441.591,1.09043,0.86491,0.98012,0.66486,0.74762,0.7051,0.56432,1.14662,1.10873,1.07491,0.0005248,0.0005248,0.0005248
50,449.978,0.99636,0.81748,0.97187,0.65068,0.79024,0.72428,0.58382,1.11405,1.07742,1.05364,0.0005149,0.0005149,0.0005149
51,458.421,1.05626,0.85359,0.98269,0.70769,0.70781,0.70349,0.5524,1.16643,1.09228,1.07254,0.000505,0.000505,0.000505
52,466.947,1.10722,0.86992,0.99595,0.67357,0.77685,0.71513,0.55521,1.14658,1.08429,1.0672,0.0004951,0.0004951,0.0004951
53,476.434,1.1169,0.89112,0.99354,0.68323,0.78406,0.73435,0.55226,1.17727,1.06935,1.07144,0.0004852,0.0004852,0.0004852
54,485.205,1.05203,0.81788,0.96808,0.61381,0.74878,0.72683,0.5658,1.09046,1.07995,1.04835,0.0004753,0.0004753,0.0004753
55,493.637,1.03705,0.81157,0.96511,0.60484,0.7958,0.69122,0.55095,1.09602,1.07192,1.05078,0.0004654,0.0004654,0.0004654
